"id_medecin";"genre";"nom";"prenom";"telephone";"id_service"
"1";"female";"Kari";"Grimard";"04.45.70.67.85";"5"
"2";"male";"Eustache";"Boileau";"03.87.95.60.56";"2"
"3";"male";"Bertrand";"Verreau";"05.62.95.05.43";"10"
"4";"female";"Blondelle";"Pelland";"01.78.80.68.14";"5"
"5";"female";"Cerise";"Brault";"01.73.79.57.42";"2"
"6";"male";"Garland";"Massa";"02.04.53.97.33";"5"
"7";"male";"Percy";"Brian";"01.92.86.94.56";"3"
"8";"male";"Royce";"Rouleau";"03.04.94.50.15";"5"
"9";"male";"Vachel";"Pelchat";"01.12.26.47.33";"9"
"10";"female";"Galatee";"Mireault";"01.50.00.51.23";"4"
"11";"female";"Corette";"Arpin";"03.74.64.47.93";"5"
"12";"male";"Maslin";"Riquier";"02.17.71.75.80";"6"
"13";"male";"Aleron";"Lavoie";"04.71.26.93.78";"5"
"14";"female";"Caroline";"Dubai";"03.51.03.03.21";"8"
"15";"male";"Hugh";"Lalibertan";"01.07.27.85.07";"6"
"16";"female";"Claude";"Varieur";"01.66.96.29.25";"11"
"17";"male";"Algernon";"Allaire";"05.11.86.90.09";"2"
"18";"female";"Faye";"Franchette";"02.07.85.34.88";"10"
"19";"female";"Cinderella";"Auger";"03.81.45.52.11";"8"
"20";"female";"Maureen";"Quessy";"01.07.78.33.19";"1"
"21";"female";"Victoire";"Demers";"04.68.93.26.71";"1"
"22";"female";"Arnaude";"Caya";"05.13.15.69.37";"5"
"23";"male";"Theophile";"Lapierre";"03.72.11.87.86";"2"
"24";"male";"Davet";"Proulx";"01.68.13.47.53";"6"
"25";"male";"Platt";"Lefaibvre";"04.97.79.44.77";"5"
"26";"female";"Raison";"Dionne";"03.50.12.75.89";"9"
"27";"female";"Fealty";"Brian";"01.11.07.29.59";"2"
"28";"female";"Fabienne";"Mazuret";"04.80.78.25.63";"11"
"29";"male";"Gill";"Guibord";"03.27.83.02.76";"9"
"30";"male";"Norris";"Meunier";"03.15.85.33.80";"2"
